CPU Status:
Cores Available: 75
Cores Used: 53
CPU Utilization: 41.4062%
-----------------------------
Running:
Name: process_352 | Core: 95 | 718 / 909
Name: process_371 | Core: 114 | 413 / 531
Name: process_386 | Core: 1 | 533 / 599
Name: process_391 | Core: 6 | 831 / 923
Name: process_463 | Core: 78 | 331 / 380
Name: process_465 | Core: 80 | 408 / 500
Name: process_489 | Core: 104 | 480 / 1061
Name: process_494 | Core: 109 | 211 / 222
Name: process_497 | Core: 112 | 434 / 588
Name: process_498 | Core: 113 | 263 / 305
Name: process_502 | Core: 117 | 358 / 463
Name: process_504 | Core: 119 | 346 / 414
Name: process_510 | Core: 125 | 406 / 565
Name: process_512 | Core: 127 | 273 / 489
Name: process_515 | Core: 2 | 336 / 716
Name: process_517 | Core: 4 | 339 / 500
Name: process_530 | Core: 17 | 191 / 518
Name: process_532 | Core: 19 | 222 / 287
Name: process_534 | Core: 21 | 220 / 253
Name: process_535 | Core: 22 | 175 / 261
Name: process_538 | Core: 25 | 164 / 346
Name: process_539 | Core: 26 | 172 / 667
Name: process_541 | Core: 28 | 185 / 285
Name: process_545 | Core: 32 | 189 / 227
Name: process_547 | Core: 34 | 112 / 467
Name: process_549 | Core: 36 | 141 / 227
Name: process_550 | Core: 37 | 193 / 792
Name: process_552 | Core: 39 | 208 / 317
Name: process_553 | Core: 40 | 176 / 561
Name: process_554 | Core: 41 | 116 / 482
Name: process_556 | Core: 43 | 141 / 442
Name: process_557 | Core: 44 | 115 / 149
Name: process_559 | Core: 46 | 133 / 226
Name: process_560 | Core: 47 | 130 / 628
Name: process_561 | Core: 48 | 134 / 541
Name: process_562 | Core: 49 | 88 / 204
Name: process_563 | Core: 50 | 126 / 252
Name: process_565 | Core: 52 | 137 / 294
Name: process_566 | Core: 53 | 117 / 368
Name: process_570 | Core: 57 | 65 / 525
Name: process_573 | Core: 60 | 76 / 621
Name: process_574 | Core: 61 | 77 / 403
Name: process_575 | Core: 62 | 82 / 685
Name: process_576 | Core: 63 | 61 / 245
Name: process_577 | Core: 64 | 39 / 439
Name: process_581 | Core: 68 | 40 / 239
Name: process_582 | Core: 69 | 51 / 718
Name: process_583 | Core: 70 | 26 / 454
Name: process_584 | Core: 71 | 20 / 270
Name: process_586 | Core: 73 | 33 / 773
Name: process_587 | Core: 74 | 21 / 223
Name: process_588 | Core: 75 | 25 / 229
